run_timestamp_utc,run_source,use_osrm,osrm_connected,osrm_pipeline_mode,dbscan_eps_km,vrptw_enabled,n_orders,n_drivers,n_merged_stops,dbscan_cluster_labels,driver_assignment_json,naive_sum_legs_km,optimized_ga_open_tour_km,optimized_dijkstra_graph_km,optimized_astar_quick_km,optimized_astar_graph_km,optimized_osrm_road_km,saved_km_vs_naive_ga,saved_km_vs_naive_dijkstra,saved_km_vs_naive_astar,saved_km_vs_naive_osrm,route_index,cluster_id,driver_id,n_stops_on_route,visit_sequence_rep_order_ids,merged_order_ids_per_stop,ga_open_tour_km,dijkstra_graph_km,astar_route_km,astar_route_min,effective_distance_km,effective_duration_min,effective_distance_source,effective_time_source,osrm_road_km,osrm_duration_min,osrm_status,vrptw_ok,vrptw_optimized,eta_arrival_min_chain,vrptw_detail_json
2026-05-10T17:16:31Z,visual_osrm_app,True,True,core_plus_osrm,1.400000,False,8,3,7,"0,0,0,0,0,1,2","{""0"":3,""1"":3,""2"":3}",12.2727,12.4792,12.4792,13.5809,12.4792,25.8629,0.0000,0.0000,0.0000,0.0000,0,0,3,5,5|3|1|4|6,5;3;1|2;4;6,5.2907,5.2907,5.7885,13.0831,13.3974,24.49,osrm,osrm,13.3974,24.49,ok,True,False,1.72;10.66;18.34;25.31;33.08,"{""end_time_min"":105.92561763276694,""max_load"":15.0,""violations"":[]}"
2026-05-10T17:16:31Z,visual_osrm_app,True,True,core_plus_osrm,1.400000,False,8,3,7,"0,0,0,0,0,1,2","{""0"":3,""1"":3,""2"":3}",12.2727,12.4792,12.4792,13.5809,12.4792,25.8629,0.0000,0.0000,0.0000,0.0000,1,1,3,1,7,7,2.8804,2.8804,3.1290,5.5346,4.4410,7.89,osrm,osrm,4.4410,7.89,ok,True,False,5.53,"{""end_time_min"":11.912959546637085,""max_load"":2.4,""violations"":[]}"
2026-05-10T17:16:31Z,visual_osrm_app,True,True,core_plus_osrm,1.400000,False,8,3,7,"0,0,0,0,0,1,2","{""0"":3,""1"":3,""2"":3}",12.2727,12.4792,12.4792,13.5809,12.4792,25.8629,0.0000,0.0000,0.0000,0.0000,2,2,3,1,8,8,4.3081,4.3081,4.6635,7.8997,8.0245,14.06,osrm,osrm,8.0245,14.06,ok,True,False,7.90,"{""end_time_min"":15.339454034018951,""max_load"":2.4,""violations"":[]}"
